tweet_id,tweet_text,true_text_info,true_text_human,predicted_reasoning,predicted_category,mapped_predicted_info,mapped_predicted_category,tweet_text_char_count,token_in_use,token_out_use,latency_seconds,temperature
907308344112803840,Feds team with Texas to provide post-Harvey relief https://t.co/12QAeAydit https://t.co/QmUSCQXlPZ,informative,rescue_volunteering_or_donation_effort,"The tweet mentions 'post-Harvey relief' and the collaboration between federal and state teams to provide aid, which describes a collective organized humanitarian effort.",rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,98,958,60,6.22062873840332,0.0
913173742360125440,5:45 PM Wednesday: Maria back to low-end Hurricane status. DelMarVa peninsula getting high surf and wind. https://t.co/Zt85CjkpQK,informative,other_relevant_information,"The tweet provides weather tracking information regarding a hurricane's status and expected conditions (high surf and wind) without reporting specific casualties, damage, or displacement.",other_relevant_information,informative,other_relevant_information,129,950,56,5.066608905792236,0.0
907560012926603264,Half-million gallons of gasoline spilled due to Harvey's floodwaters https://t.co/cqD3Gg48yp https://t.co/7WoeOmAUdO,informative,infrastructure_and_utility_damage,"The tweet reports a massive gasoline spill caused by floodwaters, which constitutes damage to utility/environmental infrastructure and hazardous material leakage.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,116,962,52,6.210251092910767,0.0
906549721648562179,The Prayer Circle: Texans Rebuild After Harvey as a Practice of Faith by KEVINÂ SACK https://t.co/SfemyUy1z9 https://t.co/AmGYuFnIWB,not_informative,not_humanitarian,"The tweet is a link to an article about faith and rebuilding after Hurricane Harvey; it provides general news/opinion content rather than specific reports of casualties, damage, or active rescue efforts.",other_relevant_information,informative,other_relevant_information,132,955,56,4.964102268218994,0.0
909746526863417344,Hillary quote “IT WOULD PROBABLY BE GOOD FOR THE COUNTRY IF IRMA WERE TO JUST WIPE EVERY FLORIDA HILLBILLY OFF THE… https://t.co/SfWIwh8dVy,informative,other_relevant_information,"The tweet contains a political quote/commentary rather than providing factual information about disaster impacts, casualties, or emergency response needs.",not_informative,not_informative,not_humanitarian,139,952,42,4.470465660095215,0.0
916262078893248513,Hurricane mauled Puerto Rico's renowned Monkey Island research center https://t.co/YGkb8dXuaG https://t.co/jbEp8sHIFK,informative,infrastructure_and_utility_damage,"The tweet reports that a research center was 'mauled' (damaged) by a hurricane, which refers to damage to a built environment structure.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,117,947,50,3.359682083129883,0.0
909458931696717824,"A view of St. Thomas, #USVI, before &amp; after Hurricane #Irma. https://t.co/XKivTJjA6v",informative,infrastructure_and_utility_damage,"The tweet provides a visual comparison (before and after) of a location, which serves as general news/documentation of the disaster's impact rather than reporting specific casualties, damage, or relief efforts.",other_relevant_information,informative,other_relevant_information,88,944,59,4.402955532073975,0.0
930026420746645505,RT @Fintribune: 7.3 Magnitude Earthquake Strikes Iran's #Kermanshah Province https://t.co/ZslBfdDglG,informative,other_relevant_information,"The tweet reports the magnitude and location of an earthquake but does not mention casualties, displacement, damage, or rescue efforts. It serves as a factual news update about the event itself.",other_relevant_information,informative,other_relevant_information,100,946,55,3.5866475105285645,0.0
909394515441668097,RT @wsbtv: Fuel at gas stations across Georgia tainted with Irma rainwater | FULL STORY - https://t.co/PZuwnN3B5J https://t.co/ERwTncM6Kv,informative,other_relevant_information,"The tweet reports on fuel contamination due to rainwater, which is a factual news update regarding the disaster's aftermath but does not fit into specific categories like casualties, displacement, or structural damage.",other_relevant_information,informative,other_relevant_information,137,957,63,3.054140567779541,0.0
877964234826555392,22K people displaced in Sri Lanka due to being hit by worst flood in decades: https://t.co/y1OnYlTWo8 #FoodTank https://t.co/vfuV7ZNVES,informative,affected_individuals,"The tweet reports that 22,000 people have been 'displaced' due to flooding. Since no deaths, injuries, or specific missing persons are mentioned, it falls under the category for displacement.",affected_individuals,informative,affected_individuals,135,969,66,4.376134872436523,0.0
909484808404967425,Irma Survivor Tells Trump: “Obama Was Playing Golf During The Last Hurricane” https://t.co/54RdxKiad3,informative,other_relevant_information,"The tweet contains political commentary and opinions regarding past presidents rather than providing actionable humanitarian information, disaster impact details, or emergency response data.",not_informative,not_informative,not_humanitarian,101,950,49,3.6866819858551025,0.0
928673108432736256,New Puerto Rico Flag with Raindrops Postcard https://t.co/Al4kzyQ084 More Designs https://t.co/AXbRlLG0h4 #zazzle https://t.co/8yjWFZyZbr,not_informative,not_humanitarian,"The tweet is an advertisement for postcards and designs on Zazzle; it contains no information regarding a disaster, casualties, or emergency response efforts.",not_informative,not_informative,not_humanitarian,137,964,46,3.0837135314941406,0.0
910524535757262851,"Photos show destruction, damage from Hurricane Maria https://t.co/VeK9i0TBFt https://t.co/fkBaDhjNUQ",informative,infrastructure_and_utility_damage,"The tweet mentions 'destruction' and 'damage' from Hurricane Maria accompanied by photos, which refers to the impact on the built environment and physical structures.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,100,944,57,3.903636932373047,0.0
914848052766236672,Remnants of hurricane Maria meant blustery weather round the Loch but very pleased to see family of swans back https://t.co/lVvW5tXK7r,informative,other_relevant_information,"The tweet mentions the remnants of Hurricane Maria but focuses on weather observations and wildlife (swans) rather than reporting any specific humanitarian impact, damage, or casualties.",not_informative,not_informative,not_humanitarian,134,958,55,4.8132946491241455,0.0
916037408528801792,@CarmenYulinCruz Military Mission to help Puerto Rico Contact me for details You are not alone https://t.co/KEnSy4mP64,informative,rescue_volunteering_or_donation_effort,"The tweet mentions a 'Military Mission to help Puerto Rico' and invites contact for details, which indicates an organized humanitarian aid or relief effort.",rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,118,953,59,4.916690826416016,0.0
901805456213102593,Pictures from the Heights neighborhood in #Houston. Water is rising. #Harvey https://t.co/xsGzUA92dF,informative,infrastructure_and_utility_damage,"The tweet reports rising water levels in a specific neighborhood, which indicates flooding of streets and the built environment. This falls under infrastructure and utility damage (flooded streets).",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,100,950,61,5.016245603561401,0.0
