tweet_id,tweet_text,true_text_info,true_text_human,predicted_reasoning,predicted_category,mapped_predicted_info,mapped_predicted_category,tweet_text_char_count,token_in_use,token_out_use,latency_seconds,temperature
907308344112803840,Feds team with Texas to provide post-Harvey relief https://t.co/12QAeAydit https://t.co/QmUSCQXlPZ,informative,rescue_volunteering_or_donation_effort,"The tweet mentions federal and state collaboration to provide post-Harvey relief, indicating organized humanitarian efforts such as aid delivery and support operations. This aligns with collective emergency response activities rather than individual impacts or infrastructure damage.",rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,98,998,77,2.223184823989868,0.0
913173742360125440,5:45 PM Wednesday: Maria back to low-end Hurricane status. DelMarVa peninsula getting high surf and wind. https://t.co/Zt85CjkpQK,informative,other_relevant_information,"The tweet reports on the current status of a hurricane affecting the DelMarVa peninsula, including high surf and wind conditions. It provides factual weather updates relevant to the disaster but does not describe any casualties, infrastructure damage, vehicle damage, or humanitarian efforts.",other_relevant_information,informative,other_relevant_information,129,1000,78,2.2380309104919434,0.0
907560012926603264,Half-million gallons of gasoline spilled due to Harvey's floodwaters https://t.co/cqD3Gg48yp https://t.co/7WoeOmAUdO,informative,infrastructure_and_utility_damage,"The tweet reports a large-scale spill of gasoline due to floodwaters from Hurricane Harvey, indicating significant environmental and infrastructural hazard. The primary focus is on the release of hazardous materials, which falls under damage to utilities and infrastructure.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,116,999,75,2.1317718029022217,0.0
906549721648562179,The Prayer Circle: Texans Rebuild After Harvey as a Practice of Faith by KEVINÂ SACK https://t.co/SfemyUy1z9 https://t.co/AmGYuFnIWB,not_informative,not_humanitarian,"The tweet references a news article about rebuilding efforts after Hurricane Harvey, focusing on community faith-based recovery. It does not report any casualties, missing persons, infrastructure damage, vehicle damage, or organized aid efforts. The content is centered on a narrative of resilience and spiritual practice rather than immediate humanitarian needs.",other_relevant_information,informative,other_relevant_information,132,1005,87,2.329615354537964,0.0
909746526863417344,Hillary quote “IT WOULD PROBABLY BE GOOD FOR THE COUNTRY IF IRMA WERE TO JUST WIPE EVERY FLORIDA HILLBILLY OFF THE… https://t.co/SfWIwh8dVy,informative,other_relevant_information,"The tweet contains a political quote unrelated to any actual disaster impact, such as injuries, damage, or humanitarian needs. It expresses a personal opinion rather than reporting on any disaster-related event or consequence.",not_informative,not_informative,not_humanitarian,139,1009,67,2.1297755241394043,0.0
916262078893248513,Hurricane mauled Puerto Rico's renowned Monkey Island research center https://t.co/YGkb8dXuaG https://t.co/jbEp8sHIFK,informative,infrastructure_and_utility_damage,"The tweet reports significant damage to a research center on Monkey Island due to a hurricane, indicating structural destruction. The focus is on the destruction of a man-made facility, which falls under infrastructure damage.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,117,998,69,0.6847126483917236,0.0
909458931696717824,"A view of St. Thomas, #USVI, before &amp; after Hurricane #Irma. https://t.co/XKivTJjA6v",informative,infrastructure_and_utility_damage,"The tweet shares a before-and-after image of St. Thomas, USVI, showing the impact of Hurricane Irma. It highlights visual evidence of widespread destruction, which aligns with significant damage to buildings and infrastructure caused by the storm.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,88,996,76,0.7321701049804688,0.0
930026420746645505,RT @Fintribune: 7.3 Magnitude Earthquake Strikes Iran's #Kermanshah Province https://t.co/ZslBfdDglG,informative,other_relevant_information,"The tweet reports an earthquake of 7.3 magnitude striking Kermanshah Province in Iran. It provides factual information about the disaster event itself, including its location and magnitude, but does not mention any casualties, injuries, infrastructure damage, missing persons, or relief efforts. This fits best under 'other_relevant_information' as it conveys a key seismic event update without specific humanitarian impact details.",other_relevant_information,informative,other_relevant_information,100,997,109,1.0016486644744873,0.0
909394515441668097,RT @wsbtv: Fuel at gas stations across Georgia tainted with Irma rainwater | FULL STORY - https://t.co/PZuwnN3B5J https://t.co/ERwTncM6Kv,informative,other_relevant_information,"The tweet reports that fuel at gas stations across Georgia has been contaminated with rainwater from Hurricane Irma, indicating a disruption in fuel supply due to weather conditions. This affects utilities and infrastructure related to energy distribution, falling under infrastructure and utility damage.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,137,1009,78,0.7044217586517334,0.0
877964234826555392,22K people displaced in Sri Lanka due to being hit by worst flood in decades: https://t.co/y1OnYlTWo8 #FoodTank https://t.co/vfuV7ZNVES,informative,affected_individuals,"The tweet mentions that 22,000 people have been displaced due to severe flooding, indicating a large-scale population movement caused by the disaster. There is no mention of injuries, deaths, or specific missing persons, so higher-priority categories do not apply.",affected_individuals,informative,affected_individuals,135,1006,81,0.688169002532959,0.0
