id,text
1,ขอความช่วยเหลือด่วนค่ะ มีทั้งเด็ก ผู้ใหญ่ ผู้สูงอายุค่ะ ตอนนี้น้ำน่าจะท่วมสูงกว่าในรูปเมื่อบ่ายแล้วค่ะ บ้านที่ติดกับร้านKJ modifyค่ะ
2,"ขอความช่วยเหลือด้วยค่ะ โซนโชคสมาน
ที่อยู่ 56 ซ.7 โชคสมาน 5 ต.หาดใหญ่ 
ผู้ใหญ่ 2 คน ระดับน้ำในบ้านท่วมจะถึงชั้น 2 แล้ว แบตโทรศัพท์กำลังจะหมด
เบอร์ติดต่อคนในบ้านค่ะ: 062439****, 062203****"
3,"ขอความช่วยเหลืออพยพค่ะ

ตอนนี้น้ำจะท่วมเข้าชั้น 2 แล้วค่ะ
มีผู้สูงอายุ 2 คน แมว 1 ตัว

ติดต่อ 081-896****, 089-462****

ถ้าโทรไม่ติด ตะโกนเรียกในบ้านเลยค่ะ

พิกัด บ้านเลขที่38 ถนน นิพัทธ์สงเคราะห์1 ซอย20 แถววัดเกาะเสือค่ะ

081-897**** (ลูกสาว)"
4,"📍📍ขอความช่วยเหลือนะคะ ที่บ้านมีผู้ป่วยเบาหวาน ( แม่ ) มีเด็ก 2 ขวบ และน้องสาวค่ะ ขาดแคลนอาหาร ระดับน้ำถึงชั้น 2 แล้วค่ะ ต้องการอพยพ ติดต่อที่บ้านไม่ได้เลย 
 📌 173 มงคลประชา 2 เขต 8 ขอบคุณค่ะ"
5,"🚨ขอความช่วยเหลือด่วนค่ะ🚨
อยากหาคนที่พอมีเรือ / เจตสกี ช่วยเข้าไปอพคุณพ่อ พี่สาว และหมา 1 ตัวค่ะ
📌 พิกัด : 29 ซ.1 ถ.แก้วสมิทธิ์ ต.หาดใหญ่ อ.หาดใหญ่
ตอนนี้น้ำท่วมสูงกำลังจะถึงชั้น2 แล้วค่ะ
ติดต่อโมได้เลยนะคะ
090-229****
ฝากช่วยแชร์หน่อยนะคะ บริเวณดังกล่าวยังไม่มีหน่วยงานไหนเข้าถึงเนื่องจากกระแสน้ำเชี่ยวและสูงมาก 😭🙏🏻"
6,"📌 ขอความช่วยเหลือด่วนค่ะ📌
ร้านแซ่บอีหลี สามขัย ซ.1 ตอนนี้ที่ร้านมีคนแก่2คนอายุ86ปี เดินไม่ได้ และมีพนักงาน1คนอายุเยอะทั้งคู่ ติดอยู่ที่ร้าน น้ำขึ้นเรื่อยๆ ตอนนี้อยู่กันบนโต้ะ ถ้าท่วมมากกว่านี้ลำบากแน่ๆเพราะมีแค่โต้ะที่อยู่ได้ ตอนนี้น้ำถึงเก้าอี้แล้ว รอบร้านน้ำแรงและลึกมากออกไม่ได้เลยค่ะ ขอความกรุณาช่วยด้วยนะคะ 🙏🙏🙏
ติดต่อเบอร์ 089-298-**** , 081-239-****"
7,"ช่วยดันหน่อยค่ะ🥹🙏🏻  มีเด็กแรกเกิดไม่ถึง 1 เดือนและผู้สูงอายุ 80 ปี ค่ะ ขาดน้ำอาหาร แพมเพิส และนม 

🏡:บ้านเลขที่ 41 ซอย 14 ราษฎร์อุทิศค่ะ 

 🆘 เด็กแรกเกิด 1 คน มีผู้ป่วยสูงอายุ 1คน ผู้ใหญ่ 4 คนและแมว 6ตัวค่ะ🆘

ตั้งแต่วันที่22ยังไม่มีหน่วยงานไหนเข้ามาเลย น้ำท่วมชั้น 1 หมดแล้ว ไม่สามารถออกไปได้

‼️ต้องการอาหาร น้ำ แพมเพิสเด็กและนมเด็ก‼️

เบอร์082-820-**** (พ่อ,อยู่บ้าน)
,065-872-**** (ลูกสาว,ผู้แจ้ง อยู่คนละที่กันค่ะ)"
8,"🆘🆘🆘 
ช่วยด้วยค่ะ มีผู้สูงอายุติดเตียง ติดอยู่ที่บ้านค่ะ 🙏🏻🙏🏻🙏🏻
ช่วยยยยด้วยค่ะ 🆘
หาดใหญ่ในซอย 27 บ้านเลขที่ 75 น้ำจะถึงชั้น 2 แล้วค่ะ 
อยากให้ช่วยป้า และหลานๆ ออกมาจากบ้านก่อน  #ช่วยด้วย"
9,"ขอความช่วยเหลืออพยพด่วน !!! อีก 3 ขั้นบันไดถึงชั้น 2 
ผู้ใหญ่ 2 คน เด็ก 3 ขวบ 1 คน  เด็ก 9 ขวบ 1 คน
บ้านเลขที่ 82 ถนนจันทร์วิโรจน์ ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา #น้ำท่วมหาดใหญ่68"
10,ขอความช่วยเหลือหน่อยคะ พ่อแม่อยุ่กัน 2คน มีโรคประจำตัวเป็นเบาหวานทั้ง 2คนค่ะ บ้านอยู่ เขต8 บ้านเลขที่28 ซ.11 ถ.รัตนอุทิศ (ตรงข้ามบ้านมีต้นไทรต้นใหญ่) ได้ข่าวว่าน้ำท่วมสูง มีน้ำขึ้นอย่างต่อเนื่อง พ่อกับแม่ไม่มีอาหารเลยค่ะ ไม่แน่ใจว่ากู้ภัยไปแจกถุงยังชีพถึงไหมเนื่องจากน้ำท่วมสูง ไม่รู้ต้องอพยบไหม นี่พยายามติดต่อมา 2 วันแล้วติดต่อไม่ได้เลยค่ะ รบกวนช่วยทีค่ะ ขอบคุณมากๆค่ะ เบอร์โทร081-898****
11,"พิกัด : 
7.024504,100.48742
ขอแจ้งอพยพด่วนค่ะ
ลูกสาวติดอยู่ในบ้านคนเดียว ตอนนี้น้ำท่วมชั้นหนึ่งแล้วค่ะลูกสาว￼ติดอยู่ชั้น 2 และในซอยยังมี ผู้สูงอายุและผู้ป่วยอัมพาตติดอยู่ด้วยค่ะทั้งหมด ￼8 คนค่ะ

47/9  ถนนร่วมพัฒนา ( ปากซอยมีป้าย ปาจรีย์ห้องเช่าอยู่ค่ะ )  ต.คอหงส์ อ.หาดใหญ่   
ติดต่อเบอร์คนที่ติดอยู่นั่น 
น้องอุ้ย : 083918****
เฟิร์น : 098669****
พี่หนู ผู้ประสาน : 089736****
รบกวนหน่วยงานช่วยด้วยนะคะ"
12,27/11/68 น้ำลดแล้วค่ะ ทุกคนปลอดภัย ขอบคุณค่ะ
13,"ขอรบกวนฝากเคสไว้หน่อยนะคะ 🙏

พิกัด: 6.989967413615482, 100.45455523705056

🚨🚨🚨 ขอแจ้งอพยพด่วน 🆘
บ้านชั้นครึ่ง ตอนนี้น้ำขึ้นชั้น2 มาหลายชั่วโมงแล้วค่ะ 
แม่ติดอยู่ในบ้านคนเดียวกับแมว 1 ตัวค่ะ
ซ.จันทคาร 6 บ้านหน้าควน  ติดคลอง ร.1 🚨🚨🚨 

ปากซอยเป็นร้าน""ลูกจันแก๊ส ก่อนข้ามไป ร.ร. บ้านหน้าควน 

จุดสังเกต: บ้านหลังคาสีเขียว มิดหลังคาชั้น 1 หลังคาลาดเอียง 

ทางออกเดียวคือ 'งัดฝ้าปีนขึ้นหลังคา' ค่ะ 

ติดต่อแม่ไม่ได้ไม่รู้แม่จะปีนหนีออกมาได้ไหมค่ะ ‼️‼️‼️‼️

ระเบียงบ้านชั้น2 เป็นเหล็กดัดค่ะ 
ไม่สามารถหนีออกมาได้ค่ะ  ‼️‼️

091461**** / 094-581-**** - ปริสา (ลูกสาวค่ะ)

ขอบคุณค่ะ 🙏🙏"
14,"⚠️ขอความช่วยเหลือค่ะ⚠️
บ้านเลขที่ 413 ถ.บ้านพรุธานี ต.บ้านพรุ ก่อนถึงสะพานวัดบางศาลา บ้านหลังสีส้ม มีผู้ใหญ่ 6 คน ติดอยู่ชั้น2 น้ำท่วมถึงชั้น2 ออกไปไหนไม่ได้ กำลังเจาะฝ้านั่งบนคานหลังคา เบอร์โทร 081-766**** , 090299**** , 098284****
พิกัด https://maps.app.goo.gl/zEcJSuYbAukTZsrq8?g_st=ipc"
15,"🆘รบกวนขอความช่วยเหลือค่ะ🆘

บ้านเลขที่ 36/5 ถ.หอยมุกต์ อ.หาดใหญ่ จ.สงขลา 90110

(ถนนละม้ายสงเคราะห์ ซอยตันระหว่าง 7 กับตึกแถว เข้าไปเป็นตัวเอล 
เป็นทาวน์เฮ้าส์ 2 ชั้น  สีฟ้า)

มีคนติดอยู่ในบ้าน 2 คน ผู้หญิง1 ผู้ชาย1
บ้านญาติข้างๆ ติดอยู่ 3 คน ผู้หญิงทั้งหมด มีคนชรา ป่วยติดเตียง เคลื่อนไหวลำบากค่ะ 

083192**** แบงค์ อยู่ในพื้นที่ดังกล่าว

090607**** , 080048**** ญาตินอกพื้นที่"
16,"สวัสดีค่ะ ขอความช่วยเหลือหน่อยนะคะ มีน้องสาวกับเพื่อนรวม15คน ติดนํ้าท่วมอยู่ที่ บ้านเลขที่41/83กับบ้านเลขที่50 ซอย11 ถนนนิพัทธ์สงเคราะห์1 (แถวๆโรงพยาบาลศิครินทร์) ค่ะ ติดอยู่ในบ้านชั้น2 ไม่สามารถลงไปชั้นล่างได้ค่ะ ถูกตัดนํ้าตัดไฟ โทรศัพท์ไม่ค่อยมีสัญญาณ ไม่มีเน็ต แบตจะหมดด้วยค่ะ ล่าสุดก็ติดต่อไม่ได้ ขอความช่วยเหลือเรื่องอาหาร นํ้าดื่ม หรือถ้าอพยพได้ยิ่งดีเลยค่ะ ช่วยน้องสาวหนูด้วยนะคะ ขอบคุณค่ะ🙇‍♀️🥹
เบอร์โทรน้องสาว 061502**** ปิ๊ง , 064827**** 
เบอร์โทรผู้แจ้ง 084254**** พี่สาว , 062357**** ป้า"
17,"📍รบกวนช่วยหน่อยค่ะ ต้องการอพยพ !
น้องติดอยู่ชั้น 5 หอพักสามพี่น้อง 23 เพชรเกษม ซ. 28 ตำบล ควนลัง อำเภอหาดใหญ่ สงขลา 90110
ขาดการติดต่อมาตั้งแต่วันที่22 อีกค่ะ แบตโทรศัพท์หมดด้วยค่ะ ทางบ้านเป็นห่วงมาก เพราะน้องอยู่คนเดียวค่ะ ขอบคุณนะคะ"
18,"ขอความช่วยเหลือด้วยครับ มีคนติดอยู่ในบ้าน ผู้ใหญ่ 5คน มีผู้สูงอายุ 1 คน เป็นบ้าน 2 ชั้นแต่คาดว่าน้ำน่าจะท่วมถึงชั้น 2 แล้ว  และยังไม่มีหน่วยงานไหนไปช่วยเลย และขาดการติดต่อมา 2 วันแล้ว 
🚨 บ้านเลขที่ 199 หมู่ประสานมิตร 3 ต.ควนลัง อ.หาดใหญ่   
ในซอยยังมีบ้านอีกหลายหลังที่ต้งการความช่วยเหลือ 
 https://maps.app.goo.gl/9mbLMdk3TcUghKfZ6

https://www.facebook.com/share/p/1HN6LrxAdb/?mibextid=wwXIfr"
