tweet_id,tweet_text,true_text_info,true_text_human,predicted_info_reasoning,predicted_info,predicted_cat_reasoning,predicted_category,mapped_predicted_info,mapped_predicted_category,tweet_text_char_count,token_in_use,token_out_use,latency_seconds,temperature
907308344112803840,Feds team with Texas to provide post-Harvey relief https://t.co/12QAeAydit https://t.co/QmUSCQXlPZ,informative,rescue_volunteering_or_donation_effort,"The tweet mentions 'Feds team with Texas to provide post-Harvey relief', which refers to a specific disaster (Hurricane Harvey) and describes a factual aid/response operation (federal and state collaboration for relief). This qualifies as informative under 'reports of rescue, aid, or emergency response operations with details'.",informative,"The tweet announces a federal partnership with Texas to provide relief after Hurricane Harvey, focusing on organized government aid and response efforts rather than casualties, infrastructure damage, or individual rescues.",rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,98,1924,184,10.00596022605896,0.0
913173742360125440,5:45 PM Wednesday: Maria back to low-end Hurricane status. DelMarVa peninsula getting high surf and wind. https://t.co/Zt85CjkpQK,informative,other_relevant_information,"The tweet provides specific factual information about Hurricane Maria: its status (low-end hurricane), a named location (DelMarVa peninsula), and specific impacts (high surf and wind). This is a weather forecast/warning referencing a specific disaster event.",informative,"The tweet provides a weather update on Hurricane Maria's status and its effects (high surf and wind) on the DelMarVa peninsula, without mentioning any deaths, injuries, missing persons, displacement, infrastructure damage, vehicle damage, or organized relief efforts. This is purely a storm tracking/weather update.",other_relevant_information,informative,other_relevant_information,129,1926,191,14.305460691452026,0.0
907560012926603264,Half-million gallons of gasoline spilled due to Harvey's floodwaters https://t.co/cqD3Gg48yp https://t.co/7WoeOmAUdO,informative,infrastructure_and_utility_damage,"The tweet contains a specific factual number ('Half-million gallons of gasoline spilled') and directly references a named disaster ('Harvey's floodwaters'), describing a concrete environmental impact. This is clearly informative disaster information.",informative,"The tweet reports a gasoline spill caused by floodwaters, which is damage to infrastructure (fuel storage/transport) rather than vehicles, people, or rescue efforts. This fits 'infrastructure_and_utility_damage' as the primary subject is a hazardous material release from built infrastructure.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,116,1926,165,8.506201267242432,0.0
906549721648562179,The Prayer Circle: Texans Rebuild After Harvey as a Practice of Faith by KEVINÂ SACK https://t.co/SfemyUy1z9 https://t.co/AmGYuFnIWB,not_informative,not_humanitarian,"The tweet mentions 'Texans Rebuild After Harvey' — 'Harvey' is a specific named disaster (Hurricane Harvey), and 'rebuild' implies factual recovery/rebuilding efforts. Even though it's a news article headline, it directly references a specific disaster event with a concrete action (rebuilding). Per the bias rule, this should be marked informative.",informative,"The tweet discusses Texans rebuilding after Hurricane Harvey, which focuses on the recovery and reconstruction process. This does not mention deaths, injuries, missing persons, displacement, infrastructure damage, vehicle damage, or organized rescue/donation efforts. It is a general news/opinion piece about rebuilding as a practice of faith, fitting 'other_relevant_information' as no more specific category applies.",other_relevant_information,informative,other_relevant_information,132,1942,204,12.791337728500366,0.0
909746526863417344,Hillary quote “IT WOULD PROBABLY BE GOOD FOR THE COUNTRY IF IRMA WERE TO JUST WIPE EVERY FLORIDA HILLBILLY OFF THE… https://t.co/SfWIwh8dVy,informative,other_relevant_information,"The tweet is a political quote about Hurricane Irma, not a report of specific disaster facts. It contains no casualty numbers, damage descriptions, location impacts, or any concrete disaster information — it's purely political commentary/sarcasm.",not_informative,,,not_informative,not_humanitarian,139,804,80,7.6808905601501465,0.0
916262078893248513,Hurricane mauled Puerto Rico's renowned Monkey Island research center https://t.co/YGkb8dXuaG https://t.co/jbEp8sHIFK,informative,infrastructure_and_utility_damage,"The tweet names a specific location (Puerto Rico's Monkey Island research center) and describes a concrete disaster impact ('Hurricane mauled'), indicating physical destruction to a known facility. This is factual disaster information about damage to a named place.",informative,"The tweet reports that a hurricane damaged a research center on Monkey Island in Puerto Rico. The focus is on structural damage to a facility (the research center), not on casualties, missing persons, displacement, vehicles, or rescue efforts. This fits 'infrastructure_and_utility_damage' as the primary subject is damage to a built structure.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,117,1928,175,5.807223081588745,0.0
909458931696717824,"A view of St. Thomas, #USVI, before &amp; after Hurricane #Irma. https://t.co/XKivTJjA6v",informative,infrastructure_and_utility_damage,"The tweet references Hurricane Irma, a specific named disaster, and provides a before/after view of St. Thomas, USVI, which implies physical destruction or impact from the hurricane. This qualifies as factual disaster information with a named location and implied damage.",informative,"The tweet shows before/after images of St. Thomas following Hurricane Irma, focusing on the visual impact of the storm on the built environment and landscape. No mention of deaths, injuries, missing persons, displacement, vehicles, or rescue efforts — it is a general visual comparison of damage, which fits 'other_relevant_information' as a last resort.",other_relevant_information,informative,other_relevant_information,88,1920,177,4.980923652648926,0.0
930026420746645505,RT @Fintribune: 7.3 Magnitude Earthquake Strikes Iran's #Kermanshah Province https://t.co/ZslBfdDglG,informative,other_relevant_information,"The tweet reports a specific magnitude (7.3) and a named location (Iran's Kermanshah Province) for an earthquake, which is factual disaster data.",informative,"The tweet reports a 7.3 magnitude earthquake striking Iran's Kermanshah province, providing factual information about the earthquake's magnitude and location without mentioning any deaths, injuries, displacement, infrastructure damage, or relief efforts. This fits the 'other_relevant_information' category as a general news report of a disaster event with no specific humanitarian impact details.",other_relevant_information,informative,other_relevant_information,100,1926,167,7.7854084968566895,0.0
909394515441668097,RT @wsbtv: Fuel at gas stations across Georgia tainted with Irma rainwater | FULL STORY - https://t.co/PZuwnN3B5J https://t.co/ERwTncM6Kv,informative,other_relevant_information,"The tweet reports that fuel at gas stations across Georgia was tainted with Irma rainwater, linking to a full story. This provides specific, factual disaster impact information (contaminated fuel supply) tied to Hurricane Irma and a named location (Georgia).",informative,"The tweet reports that fuel at gas stations across Georgia has been tainted by Irma rainwater, which is a contamination issue affecting fuel infrastructure (gas stations). This fits 'infrastructure_and_utility_damage' as it describes damage/contamination to a utility (fuel supply) caused by the disaster.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,137,1950,175,7.350526809692383,0.0
877964234826555392,22K people displaced in Sri Lanka due to being hit by worst flood in decades: https://t.co/y1OnYlTWo8 #FoodTank https://t.co/vfuV7ZNVES,informative,affected_individuals,"The tweet contains a specific number ('22K people displaced'), a named location ('Sri Lanka'), and a factual description of a disaster ('worst flood in decades'). This is clearly informative disaster information.",informative,"The tweet reports 22,000 people displaced in Sri Lanka due to severe flooding, with no mention of deaths, injuries, missing persons, infrastructure damage, vehicle damage, or rescue/donation efforts. The primary focus is on the number of displaced individuals, which fits the 'affected_individuals' category.",affected_individuals,informative,affected_individuals,135,1942,169,6.348157167434692,0.0
909484808404967425,Irma Survivor Tells Trump: “Obama Was Playing Golf During The Last Hurricane” https://t.co/54RdxKiad3,informative,other_relevant_information,"The tweet is a political argument/blame statement comparing Trump and Obama's actions during a hurricane, with no specific disaster information such as casualty counts, damage estimates, location impacts, or factual descriptions of destruction.",not_informative,,,not_informative,not_humanitarian,101,785,75,4.299242973327637,0.0
928673108432736256,New Puerto Rico Flag with Raindrops Postcard https://t.co/Al4kzyQ084 More Designs https://t.co/AXbRlLG0h4 #zazzle https://t.co/8yjWFZyZbr,not_informative,not_humanitarian,"The tweet is about a 'New Puerto Rico Flag with Raindrops Postcard' and links to a Zazzle design store. It contains no mention of any disaster event, casualty numbers, damage descriptions, warnings, or any factual disaster information. It is a commercial product post, completely off-topic from any disaster.",not_informative,,,not_informative,not_humanitarian,137,805,94,3.2787415981292725,0.0
910524535757262851,"Photos show destruction, damage from Hurricane Maria https://t.co/VeK9i0TBFt https://t.co/fkBaDhjNUQ",informative,infrastructure_and_utility_damage,"The tweet mentions 'Photos show destruction, damage from Hurricane Maria' — this is a factual reference to a specific disaster (Hurricane Maria) and describes physical destruction/damage, which qualifies as specific disaster information.",informative,"The tweet mentions 'destruction, damage' from Hurricane Maria and links to photos, focusing on the physical impact of the disaster on structures and the environment. There is no mention of deaths, injuries, missing persons, displacement, vehicles, or rescue efforts, making 'infrastructure_and_utility_damage' the most specific applicable category.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,100,1918,178,5.559803247451782,0.0
914848052766236672,Remnants of hurricane Maria meant blustery weather round the Loch but very pleased to see family of swans back https://t.co/lVvW5tXK7r,informative,other_relevant_information,"The tweet mentions 'Remnants of hurricane Maria' (a specific named disaster) and describes 'blustery weather' as a concrete impact at a named location ('the Loch'). This is a factual description of a disaster's aftermath, not purely emotional or political.",informative,"The tweet describes blustery weather from hurricane remnants but focuses on seeing a family of swans, with no mention of deaths, injuries, missing people, displacement, infrastructure damage, vehicle damage, or rescue efforts. It is a general observation about the weather with no specific humanitarian impact category fitting, so it falls under other_relevant_information.",other_relevant_information,informative,other_relevant_information,134,1928,176,5.938003778457642,0.0
916037408528801792,@CarmenYulinCruz Military Mission to help Puerto Rico Contact me for details You are not alone https://t.co/KEnSy4mP64,informative,rescue_volunteering_or_donation_effort,"The tweet mentions a 'Military Mission to help Puerto Rico' and offers contact details for assistance. This references an aid/response operation for Puerto Rico, which has been impacted by disasters (e.g., hurricanes, earthquakes). The mention of a specific mission and contact details provides factual information about disaster response efforts.",informative,"The tweet shares a military mission to help Puerto Rico and provides contact details for assistance, which describes an organized relief effort. No deaths, injuries, missing persons, infrastructure damage, or vehicle damage are mentioned.",rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,118,1916,163,4.399513006210327,0.0
901805456213102593,Pictures from the Heights neighborhood in #Houston. Water is rising. #Harvey https://t.co/xsGzUA92dF,informative,infrastructure_and_utility_damage,"The tweet mentions a specific location ('Heights neighborhood in #Houston') and describes a concrete disaster impact ('Water is rising') with a photo link, referencing Hurricane #Harvey. This is factual disaster information about flooding in a named area.",informative,"The tweet describes rising water/flooding in a Houston neighborhood, which is primarily about flood damage to the built environment (streets, neighborhoods). No deaths, injuries, missing persons, vehicle focus, or rescue efforts are mentioned.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,100,1914,152,7.680158376693726,0.0
910613883613847553,Relatives say children missing after a school collapsed in Mexico's deadly earthquake have sent WhatsApp messages. https://t.co/mz1jHrEcCB,informative,missing_or_found_people,"The tweet contains specific factual disaster information: children are missing after a school collapsed in Mexico's deadly earthquake, and relatives report receiving WhatsApp messages from them. This includes a named location (Mexico), a specific disaster (earthquake), physical destruction (school collapsed), and missing persons (children).",informative,"The tweet explicitly mentions 'children missing' after a school collapse, which refers to specific individuals unaccounted for, fitting the 'missing_or_found_people' category. No deaths or injuries are directly stated, and the focus is on the missing status of these children.",missing_or_found_people,informative,missing_or_found_people,138,1916,187,6.355123281478882,0.0
909439057150832640,Islanders tell of terror with prisoners on loose following Hurricane Irma https://t.co/fOUscBLM6i https://t.co/Oc7bc0Cg05,informative,other_relevant_information,"The tweet mentions 'Hurricane Irma' (a specific named disaster) and 'prisoners on loose' — a concrete impact/consequence of the hurricane. It also includes a news link, suggesting factual reporting. This qualifies as informative because it references a specific disaster event and describes a specific real-world consequence.",informative,"The tweet mentions 'prisoners on loose' following Hurricane Irma, which is a public safety/security concern but does not directly report deaths, injuries, missing persons, infrastructure damage, vehicle damage, or organized relief efforts. It fits best as 'other_relevant_information' since it describes a secondary consequence of the disaster that doesn't match any of the more specific humanitarian categories.",other_relevant_information,informative,other_relevant_information,121,1926,204,6.4533209800720215,0.0
916103691224141829,"RT @lindsayaellis: Here's what 51,000 pounds of donated goods from Houston to Puerto Rico looks like. https://t.co/0vzOIe7ZtA",informative,rescue_volunteering_or_donation_effort,"The tweet mentions '51,000 pounds of donated goods from Houston to Puerto Rico' — this is a specific, factual detail about aid/relief operations (donated goods) being sent to Puerto Rico, which was devastated by Hurricane Maria. The specific number (51,000 pounds) and named locations (Houston, Puerto Rico) with a concrete disaster response context make this informative.",informative,"The tweet describes 51,000 pounds of donated goods being sent from Houston to Puerto Rico, which is a clear example of organized humanitarian aid and relief distribution. This fits the 'rescue_volunteering_or_donation_effort' category as it focuses on collective donation efforts rather than casualties, missing persons, or infrastructure damage.",rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,125,1936,207,7.340364933013916,0.0
918112951592280064,"RT @tomstandage: Wow. ""Fallout""-like post-apocalyptic scene in Santa Rosa after wildfire https://t.co/m1n0kwmZ5O https://t.co/zoO7iBmN5W",informative,infrastructure_and_utility_damage,"The tweet references a specific location (Santa Rosa) and a specific disaster (wildfire), and describes a 'post-apocalyptic scene' indicating physical destruction. It also includes a link to visual evidence. This is factual disaster information about a wildfire impact.",informative,"The tweet describes a ""post-apocalyptic scene"" in Santa Rosa after a wildfire, sharing a photo of the aftermath. The focus is on widespread destruction of buildings and the built environment, with no mention of deaths, injuries, missing persons, evacuations, or rescue efforts. This fits infrastructure and utility damage as the dominant category.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,136,1953,299,26.423866748809814,0.0
