tweet_id,tweet_text,true_text_info,true_text_human,predicted_info_reasoning,predicted_info,predicted_cat_reasoning,predicted_category,mapped_predicted_info,mapped_predicted_category,tweet_text_char_count,token_in_use,token_out_use,latency_seconds,temperature
907308344112803840,Feds team with Texas to provide post-Harvey relief https://t.co/12QAeAydit https://t.co/QmUSCQXlPZ,informative,rescue_volunteering_or_donation_effort,The tweet references a specific disaster (Harvey) and reports on emergency response/aid operations (Feds teaming with Texas for relief).,informative,"The tweet describes a collective organized effort between federal and state authorities to provide post-disaster relief, which aligns with the 'rescue_volunteering_or_donation_effort' category.",rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,98,1528,112,6.158174991607666,0.0
913173742360125440,5:45 PM Wednesday: Maria back to low-end Hurricane status. DelMarVa peninsula getting high surf and wind. https://t.co/Zt85CjkpQK,informative,other_relevant_information,"The tweet provides a specific storm status update (Maria back to low-end Hurricane), a timestamp, and a named location (DelMarVa peninsula) experiencing specific impacts (high surf and wind).",informative,"The tweet provides weather tracking information regarding a hurricane's status and expected wind/surf conditions, without reporting specific human impact, damage, or relief efforts.",other_relevant_information,informative,other_relevant_information,129,1508,111,6.625874757766724,0.0
907560012926603264,Half-million gallons of gasoline spilled due to Harvey's floodwaters https://t.co/cqD3Gg48yp https://t.co/7WoeOmAUdO,informative,infrastructure_and_utility_damage,The tweet provides a specific quantity (half-million gallons) of a substance spilled (gasoline) and links it to a specific disaster event (Harvey's floodwaters).,informative,"The tweet reports a massive gasoline spill caused by floodwaters, which constitutes damage to utility/environmental infrastructure and hazardous material release.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,116,1536,110,6.728285074234009,0.0
906549721648562179,The Prayer Circle: Texans Rebuild After Harvey as a Practice of Faith by KEVINÂ SACK https://t.co/SfemyUy1z9 https://t.co/AmGYuFnIWB,not_informative,not_humanitarian,"The tweet references a specific disaster (Hurricane Harvey) and a specific location (Texas), providing a direct link to content regarding the aftermath and rebuilding efforts.",informative,"The tweet is an article link discussing the spiritual and social practices of rebuilding after Hurricane Harvey, which falls under general news/opinions rather than specific humanitarian impact data.",other_relevant_information,informative,other_relevant_information,132,1518,104,7.472303628921509,0.0
909746526863417344,Hillary quote “IT WOULD PROBABLY BE GOOD FOR THE COUNTRY IF IRMA WERE TO JUST WIPE EVERY FLORIDA HILLBILLY OFF THE… https://t.co/SfWIwh8dVy,informative,other_relevant_information,"The tweet is a political quote/commentary regarding Hurricane Irma and does not provide any factual data, damage reports, or specific disaster impacts.",not_informative,,,not_informative,not_humanitarian,139,603,46,3.041050672531128,0.0
916262078893248513,Hurricane mauled Puerto Rico's renowned Monkey Island research center https://t.co/YGkb8dXuaG https://t.co/jbEp8sHIFK,informative,infrastructure_and_utility_damage,The tweet identifies a specific disaster (Hurricane) and a named location (Monkey Island research center in Puerto Rico) with a description of physical impact (mauled/damage).,informative,"The tweet reports that a hurricane 'mauled' a research center, which indicates structural damage to a building/facility.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,117,1502,95,7.476870775222778,0.0
909458931696717824,"A view of St. Thomas, #USVI, before &amp; after Hurricane #Irma. https://t.co/XKivTJjA6v",informative,infrastructure_and_utility_damage,"The tweet references a specific disaster (Hurricane Irma) and a specific location (St. Thomas, USVI), providing a visual comparison of the impact.",informative,"The tweet provides a visual comparison (before and after) of a location, which serves as general documentation of the disaster's impact rather than reporting specific casualties, displacement, or infrastructure damage details.",other_relevant_information,informative,other_relevant_information,88,1522,110,4.871130466461182,0.0
930026420746645505,RT @Fintribune: 7.3 Magnitude Earthquake Strikes Iran's #Kermanshah Province https://t.co/ZslBfdDglG,informative,other_relevant_information,"The tweet provides specific, measurable data (7.3 magnitude) and a named location (Kermanshah Province, Iran) regarding an earthquake event.",informative,"The tweet reports the magnitude and location of an earthquake but does not mention casualties, displacement, damage, or relief efforts.",other_relevant_information,informative,other_relevant_information,100,1513,96,3.993572235107422,0.0
909394515441668097,RT @wsbtv: Fuel at gas stations across Georgia tainted with Irma rainwater | FULL STORY - https://t.co/PZuwnN3B5J https://t.co/ERwTncM6Kv,informative,other_relevant_information,The tweet identifies a specific disaster (Irma) and describes a concrete impact (tainted fuel at gas stations) in a named location (Georgia).,informative,"The tweet reports on fuel contamination at gas stations, which is a disruption to utility/resource availability caused by the disaster, fitting under infrastructure and utility damage.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,137,1548,111,3.788947820663452,0.0
877964234826555392,22K people displaced in Sri Lanka due to being hit by worst flood in decades: https://t.co/y1OnYlTWo8 #FoodTank https://t.co/vfuV7ZNVES,informative,affected_individuals,The tweet provides a specific number of displaced persons (22K) and a named location (Sri Lanka) regarding a specific disaster event (worst flood in decades).,informative,"The tweet specifically reports that 22,000 people have been displaced due to flooding, which falls directly under the 'affected_individuals' category as it describes displacement without mentioning deaths or injuries.",affected_individuals,informative,affected_individuals,135,1537,114,6.627660274505615,0.0
