tweet_id,tweet_text,true_text_info,true_text_human,predicted_reasoning,predicted_info,predicted_category,mapped_predicted_info,mapped_predicted_category,tweet_text_char_count,token_in_use,token_out_use,latency_seconds,temperature
907308344112803840,Feds team with Texas to provide post-Harvey relief https://t.co/12QAeAydit https://t.co/QmUSCQXlPZ,informative,rescue_volunteering_or_donation_effort,"The tweet provides news regarding federal and state cooperation to provide relief efforts following Hurricane Harvey, which falls under aid and relief operations.",informative,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,98,1278,57,3.620260715484619,0.0
913173742360125440,5:45 PM Wednesday: Maria back to low-end Hurricane status. DelMarVa peninsula getting high surf and wind. https://t.co/Zt85CjkpQK,informative,other_relevant_information,"The tweet provides a weather update regarding Hurricane Maria's status and potential impacts (high surf and wind), making it informative and falling under general news/forecasts.",informative,other_relevant_information,informative,other_relevant_information,129,1292,59,4.2519145011901855,0.0
907560012926603264,Half-million gallons of gasoline spilled due to Harvey's floodwaters https://t.co/cqD3Gg48yp https://t.co/7WoeOmAUdO,informative,infrastructure_and_utility_damage,"The tweet reports a significant environmental and utility-related incident (gasoline spill) caused by floodwaters from Hurricane Harvey, making it informative and falling under infrastructure/utility damage.",informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,116,1293,63,4.220799446105957,0.0
906549721648562179,The Prayer Circle: Texans Rebuild After Harvey as a Practice of Faith by KEVINÂ SACK https://t.co/SfemyUy1z9 https://t.co/AmGYuFnIWB,not_informative,not_humanitarian,"The tweet refers to a specific disaster (Hurricane Harvey) and discusses the aftermath/rebuilding process through an article, making it informative but falling under general news/opinions rather than specific damage or casualties.",informative,other_relevant_information,informative,other_relevant_information,132,1297,67,3.243553400039673,0.0
909746526863417344,Hillary quote “IT WOULD PROBABLY BE GOOD FOR THE COUNTRY IF IRMA WERE TO JUST WIPE EVERY FLORIDA HILLBILLY OFF THE… https://t.co/SfWIwh8dVy,informative,other_relevant_information,"The tweet mentions Hurricane Irma and contains a political remark/opinion regarding the disaster, making it informative but falling under general political commentary rather than specific humanitarian impact.",informative,other_relevant_information,informative,other_relevant_information,139,1294,57,4.4296581745147705,0.0
916262078893248513,Hurricane mauled Puerto Rico's renowned Monkey Island research center https://t.co/YGkb8dXuaG https://t.co/jbEp8sHIFK,informative,infrastructure_and_utility_damage,"The tweet reports damage to a specific facility (Monkey Island research center) caused by a hurricane, which constitutes infrastructure damage.",informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,117,1278,52,3.694117784500122,0.0
909458931696717824,"A view of St. Thomas, #USVI, before &amp; after Hurricane #Irma. https://t.co/XKivTJjA6v",informative,infrastructure_and_utility_damage,"The tweet provides visual information comparing the state of St. Thomas before and after Hurricane Irma, making it informative about the disaster's impact, but it does not report specific casualties, displacement, or infrastructure damage details, falling into general information.",informative,other_relevant_information,informative,other_relevant_information,88,1275,74,4.905205249786377,0.0
930026420746645505,RT @Fintribune: 7.3 Magnitude Earthquake Strikes Iran's #Kermanshah Province https://t.co/ZslBfdDglG,informative,other_relevant_information,"The tweet reports news of a specific 7.3 magnitude earthquake in Iran's Kermanshah Province, making it informative. Since it reports the event itself without mentioning casualties, damage, or displacement, it falls under 'other_relevant_information'.",informative,other_relevant_information,informative,other_relevant_information,100,1288,77,3.1201353073120117,0.0
909394515441668097,RT @wsbtv: Fuel at gas stations across Georgia tainted with Irma rainwater | FULL STORY - https://t.co/PZuwnN3B5J https://t.co/ERwTncM6Kv,informative,other_relevant_information,"The tweet provides news regarding fuel contamination caused by Hurricane Irma's rainwater, which is a relevant report about the disaster's aftermath but does not fall into specific casualty or damage categories.",informative,other_relevant_information,informative,other_relevant_information,137,1299,63,2.9519388675689697,0.0
877964234826555392,22K people displaced in Sri Lanka due to being hit by worst flood in decades: https://t.co/y1OnYlTWo8 #FoodTank https://t.co/vfuV7ZNVES,informative,affected_individuals,"The tweet reports news about 22,000 people being displaced due to flooding in Sri Lanka, making it informative and specifically focusing on affected individuals.",informative,affected_individuals,informative,affected_individuals,135,1300,56,2.778761863708496,0.0
909484808404967425,Irma Survivor Tells Trump: “Obama Was Playing Golf During The Last Hurricane” https://t.co/54RdxKiad3,informative,other_relevant_information,"The tweet mentions a survivor of Hurricane Irma and includes political commentary regarding the disaster, making it informative. Since it focuses on political remarks/opinions rather than specific casualties or damage, it falls under 'other_relevant_information'.",informative,other_relevant_information,informative,other_relevant_information,101,1281,81,6.332156658172607,0.0
