tweet_id,translated_thai,true_text_info,true_text_human,predicted_category,mapped_predicted_info,mapped_predicted_category,tweet_text_char_count,translated_thai_char_count,token_in_use,token_out_use,latency_seconds,temperature
916160388168691713,ความสงบก่อนพายุจะมา #PuberMe #บริจาคช่วยเปอร์โตริโก,not_informative,not_humanitarian,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,125,51,1855,28,2.6276817321777344,0.0
909754715180867584,ผู้ประสบภัยพายุต้องการความช่วยเหลือด่วน พวกเขาไม่สามารถฟื้นตัวได้ด้วยตัวเอง ช่วยกันบริจาคอุปกรณ์ทางการแพทย์ได้ที่ https://t.co/BzXy6jyKIR #IrmaRecovery #IrmaVictims,informative,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,143,164,1909,28,2.6306843757629395,0.0
911648744675860480,หน่วยยามฝั่งเอาถังน้ำ 450 ลิตรกับของใช้จำเป็นไปส่งให้ชาวบ้านที่อ่าวคอรัลเบย์หลังพายุมาเรียถล่มแล้ว,informative,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,122,98,1889,28,2.6778812408447266,0.0
909827798365335552,ทีมงานจาก Leon County กำลังเร่งเคลียร์เศษซากปรักหักพังหลังพายุเออร์มาผ่านไปแล้วนะ,informative,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,120,81,1870,24,2.5761115550994873,0.0
922977684728061952,เกิดไฟป่าที่เขตเวนทูรา รัฐแคลิฟอร์เนีย https://t.co/OyzWj7Uhqx https://t.co/UD3UhhK1Se,not_informative,not_humanitarian,other_relevant_information,informative,other_relevant_information,98,86,1876,22,2.5519111156463623,0.0
927716079161565185,FEMA โจมตีเชฟชื่อดังที่ทำอาหารแจกผู้ประสบภัยในเปอร์โตริโกไปหลายล้านมื้อ https://t.co/Gu5TFoo9bQ https://t.co/b14sJyPBFY,informative,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,119,119,1892,28,0.5476360321044922,0.0
909116676662206464,เงินบริจาคจาก Austin Bakes เอาไปทำอะไรบ้าง? เงินทั้งหมด 100% มอบให้ @Americares เพื่อช่วยเหลือผู้ประสบภัยพายุเฮอริเคน Harvey! https://t.co/dBbWFpTOjD,informative,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,111,149,1900,28,0.4376852512359619,0.0
909445607550459904,ที่ทำการไปรษณีย์ที่เล็กที่สุดในประเทศรอดจากพายุเฮอริเคนเออร์มามาได้ https://t.co/NhXc3OyV37 https://t.co/QDYuxyetc3,not_informative,not_humanitarian,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,101,115,1890,24,0.46152448654174805,0.0
905292553444052994,รีทวีต @defendernetwork: วิธีรับมือกับความรู้สึกผิดที่รอดชีวิตมาได้จากเหตุพายุเฮอริเคนฮาร์วีย์ https://t.co/6PXPVmM3lf https://t.co/va0kGQd02v,informative,affected_individuals,other_relevant_information,informative,other_relevant_information,119,142,1913,22,0.4481523036956787,0.0
911883799247638528,ค่าความกดอากาศตอนพายุเฮอริเคนมาเรียพัดผ่านเปอร์โตริโกเมื่อช่วงต้นสัปดาห์ที่ผ่านมา https://t.co/9O3cAT85eA,informative,other_relevant_information,other_relevant_information,informative,other_relevant_information,100,105,1889,22,0.33185791969299316,0.0
