id,text
1,"ขอบคุณอาสาประชาชน, ทีม Tact AI และ Hatyai Connext ได้ช่วยกันพัฒนา ""ระบบกวาดข้อมูลจากโซเชียลมีเดีย"" ให้กลายเป็นข้อมูลเชิงโครงสร้างเข้าระบบ jitasa.care
.
📌 จากโพสต์และคอมเมนต์ขอความช่วยเหลือจำนวนมาก ที่ยังมีหลายคนรอการช่วยเหลืออยู่ในที่ประสบเหตุ เมื่อคืนทีมอาสา/นักพัฒนาได้ช่วยกันทำงานตลอดคืนเพื่อกวาดข้อมูลจากสื่อ social media โดยใช้ AI เพื่อคัดแยก
.
- ผู้ป่วย / กลุ่มเสี่ยง
- เบอร์ติดต่อ
- พิกัดผู้ขอความช่วยเหลือ
.
พร้อมอาสาสมัครช่วยตรวจสอบและคัดกรองข้อมูลก่อนส่งต่อเข้าสู่ jitasa.care ให้ทีมภาคสนามเข้าช่วยเหลือต่อได้ ซึ่งสิ่งจำเป็นที่จุดตอนนี้คือการรวมศูนย์ข้อมูลการเข้าช่วยเหลือผู้ประสบภัย เพื่อให้ทุกภาคส่วนทั้งภาครัฐ อาสาสมัคร ภาคประชาชนที่ปฏิบัติหน้าที่อยู่หน้างาน เห็นข้อมูลที่ตรงกัน ไม่ทำงานซ้ำซ้อน จัดลำดับความสำคัญ และเข้าช่วยเหลือได้ตรงจุด
.
โดยเมื่อคืนที่ผ่านมา อาสาสมัคร/นักพัฒนาได้คัดแยกและส่งต่อข้อมูลเข้าระบบแล้วกว่า 20,000 ข้อความจากหลายแพลตฟอร์ม
.
โดยตัวผมจะเดินทางเข้าพื้นที่ในวันนี้ เพื่อติดตามสถานการณ์จริงหน้างาน และเข้าช่วยเหลือ/เติมเต็ม/สนับสนุนในสิ่งที่ขาดและจำเป็นเร่งด่วนที่สุดตอนนี้ครับ
.
แจ้งข้อมูลขอรับความช่วยเหลือได้ที่: https://jitasa.care/"
2,สวัสดีครับ ทางผมมีข้อมูลผู้ประสบภัย ยินดีช่วยเหลือครับ ถ้าหากสามารถ merge เข้าระบบทางนั้นได้ยิ่งดีเลยครับ
3,"ขอรบกวนฝากเคสไว้หน่อยนะคะ 🙏

พิกัด: 6.989967413615482, 100.45455523705056

🚨🚨🚨 ขอแจ้งอพยพด่วน 🆘
บ้านชั้นครึ่ง ตอนนี้น้ำขึ้นชั้น2 มาหลายชั่วโมงแล้วค่ะ 
แม่ติดอยู่ในบ้านคนเดียวกับแมว 1 ตัวค่ะ
ซ.จันทคาร 6 บ้านหน้าควน  ติดคลอง ร.1 🚨🚨🚨 

ปากซอยเป็นร้าน""ลูกจันแก๊ส ก่อนข้ามไป ร.ร. บ้านหน้าควน 

จุดสังเกต: บ้านหลังคาสีเขียว มิดหลังคาชั้น 1 หลังคาลาดเอียง 
 
ทางออกเดียวคือ 'งัดฝ้าปีนขึ้นหลังคา' ค่ะ 

ติดต่อแม่ไม่ได้ไม่รู้แม่จะปีนหนีออกมาได้ไหมค่ะ ‼️‼️‼️‼️

ระเบียงบ้านชั้น2 เป็นเหล็กดัดค่ะ 
ไม่สามารถหนีออกมาได้ค่ะ  ‼️‼️

091461**** / 094-581-**** - ปริสา (ลูกสาวค่ะ)

ขอบคุณค่ะ 🙏🙏"
4,"🚨ต้องการอพยพด่วน น้ำขึ้นชั้นสองจะอยู่กันไม่ได้แล้วครับ!!

จุด1️⃣มีผู้ป่วยต้องฟอกไต1คนตัวบวมแล้ว และมีคนติดอีกเป็น10+ พิกัดโชคสมาน5 ซอย 14 หาดใหญ่
จุด2️⃣ 1/56 ถนนประชาอุทิศ ตำบลหาดใหญ่ อำเภอหาดใหญ่ผู้ใหญ่ 3 เด็ก 3 ขวบ1 คน
จุด3️⃣ ชุมชนหลังโรงพัก ถนนหน้าสถานี ซอย.1ตำบล หาดใหญ่ อำเภอหาดใหญ่ คนแก่อยู่กัน2คน น้ำขึ้นชั้น2ตั้งแต่เช้ามืดแล้วครับ 
ทั้งหมดขาดการช่วยเหลือมาเข้าวันที่4แล้วครับ 
ผู้แจ้ง 091-884-**** เบส"
5,"#ต้องการอพยบด่วย ‼️‼️ตอนตี 3. น้ำในบ้านเลยเอวมาแล้วค่ะ 
รบกวนขอความช่วยเหลือหน่อยคะ  เพื่อนและครอบครัวเพื่อนติดอยู่ในบ้านหลายคน ตอนนี้พื่นที่หน้างานน้ำพ้นหัวแล้ว ในบ้านกำลังเท่าหัวเข่า ณ เวลา 20:50 น น้ำยังคงเข้าเรื่อยๆ 
22/4 ม.12 ต.ท่าช้าง อ.บางกล่ำ 
093-714****
087-292****
087-295****"
6,"🆘ต้องการความช่วยเหลือด่วนค่ะ🆘
ตอนนี้น้องชายติดอยู่ คาเฟ่หน้าประปาหาดใหญ่ สมาชิก 7คน 
#พิกัด อาคารพาณิช 3 ชัน 227 ถ.พลพิชัย
ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลาหน้า ประตูทางเข้าประปา #ไฟโดนตัด ไม่มีสัญญานมือถือ  ข้าวยัง ไม่ได้กิน 4-5 วันแล้ว 
เบอร์ติดต่อ 06-2563-**** (ไม่สามารถติดต่อได้ตั้งแต่เมื่อวาน)"
7,"หลังมัสยิด สถานี2‼️ ต้องการความช่วยเหลือด่วน มีเด็ก2เดือนไม่ได้กินนมมา3วันแล้ว มีคนแก่และเด็กมีโรคประจำตัว ต้องการอพยบ ตอนนี้อยู่รวมกันประมาณ30คนคะ อดข้าวอดรู้า4วันแล้วคะ พิกัด 6/1 ถ สุดานิเวศน์ ต หาดใหญ่  อ หาดใหญ่ จ สงขลา 😥 ช่วยด้วยนะคะ เบอร์ติดต่อ 062-049****
ฝากหน่อยนะค่ะ🥹"
8,"ขอความช่วยเหลืออพยพคนด่วนค่ะ ‼️
ผู้ติดในบ้านชื่อ : ซันมา 
เบอโทรผู้ประสบภัย: 087-355-****
จำนวน 5 คน มีผู้ป่วยติดเตียงไม่สามารถเดินได้ 1คน เด็ก1 
พิกัด: บ้าน 41 ซอยมุสลิม (ซอยปั้มเซล วงเวียนน้ำพุ)

โทร 064069**** (ญาติผู้แจ้ง)
สันญาณโทรศัพท์ไม่มี เน็ตไม่มี ติดต่อใครไม่ได้"
9,"🆘ขอความช่วยเหลือด่วนครับ🆘
ต้องการอพยพ 6 คน ติดอยู่ในห้อพัก3วันแล้วครับ ในหอพักซาฟารี เลขที่6 หมู่2 ซอยสามพี่น้อง ตำบลควนลัง อำเภอหาดใหญ่ จังหวัดสงขลา  ตอนนี้น้ำขึ้นสูงถึงชั้น2ของห้องพักมีผู้หญิง5คน ผู้ชาย1คน  ไม่มีเด็ก ไม่มีคนชราครับ  ตอนนี้ยังไม่มีหน่วยงานใหนเข้าไปให้การช่วยเหลือครับอาหารกำลังจะหมดด้วยครับ🥺🥲
พิกัด 7.00646945030749°N 100.450696349144°E

โทร 091703**** กะดา"
10,"🚨🚨 ขอความช่วยเหลือครับ 🚨🚨
พ่อแม่  ติดอยู่ในบ้านชั้น 2 ของบ้าน
** จำนวน 2 คน ** ผู้ใหญ่ 2 คน **
ตอนนี้น้ำขึ้นถึงชั้น 2 แล้วครับ ต้องการอพยพด่วนๆครับ ช่วยด้วยครับ
📍249/3  ซอย 5 ถนนรัถการ ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 
ต้องการอพยพ โทร 094-257****

## มีประชาชนติดอยู่ในซอยจำนวนมาก ตอนนี้ไม่มีสัญญาณ แบตหมดแล้วครับ 
#น้ำท่วมหาดใหญ่ #เทศบาลนครหาดใหญ่"
11,"@จันทนา 
-วันอังคาร ที่25 พฤศจิกายน 2568

-ต้องการให้ช่วยอพยพ
  •นักศึกษา 4 คน
   •ต้องการอาหารเเละน้ำ

-จำนวนที่ติดอยู่ 4 คน
-ระดับน้ำกำลังจะขึ้นชั้น2

-ที่อยู่ สามพี่น้อง อพาร์ทเม้นท์ 
1 ซอยพาหุรัตน์ หมู่ที่ 1 ต.ควนลัง อ.หาดใหญ่ จ.สงขลา

-เบอร์ติดต่อ
06-3617-****
083-430-****
นศ จาก ม.อ.ตรัง ฝึกงานที่หาดใหญ่ค่ะ"
12,"ขอความช่วยเหลือด่วนค่ะ🚨🚨🚨
ที่บ้านมีผู้ใหญ่ 5 ท่าน เด็กเล็ก 1 ตอนนี้ไม่มีอาหารและนมเหลือแล้วค่ะ
เบอร์โทรติดต่อ 091-046-**** / 096-691-****
94/20 ม.4 ซอยสามสี ถ.ทุ่งทอง ต.คลองแห อ.หาดใหญ่ จ.สงขลา 
(หลัง Big C คลองแห)"
13,"📍sos 🔴
148ซอย13รัตนอุทิศ  ต.หาดใหญ่
อ.หาดใหญ่, สงขลา 90110 

#ขอให้หน่วยงานไหนก็ได้เข้าไปช่วยหน่อยค่ะ 
มีเด็กเล็ก2ขวบกว่า คนแก่ประมาณ70ผู้ใหญ่อีก2คนยังติดอยู่ในบ้าน
ขอความช่วยเหลือหน่อยค่ะเพราะติดต่อใครไม่ได้เลยค่ะ2วันแล้ว
#ฝากเพื่อนๆพี่ๆน้องๆช่วยกันแชร์หน่อยค่ะ
#น้ำท่วมหาดใหญ่
#น้ําท่วมปี2568"
14,"🆘ขอความช่วยเหลือหน่อยค่ะ (ใกล้ครัวชื่นสุข)🆘
ตอนนี้น้องชายติดอยู่ในบ้านที่ควนลัง มีผู้ชาย 1 คน และ ผู้สูงอายุ อายุ 85 ปี อีก 1 คน มีโรคประจำตัวด้วย หูไม่ได้ยินด้วยค่ะ ตอนนี้ติดต่อไม่ได้แล้ว 

อยู่บ้านเลขที่ 45 ถ. ท่าเคียน 1 ต. ควนลัง อันนี้เบอร์ติดต่อ  063193-**** (พร)"
15,"❗️โซนที่อยู่: ชุมชนต้นโดน ถนนโชคสมาน 5 เลขที่ 1015 ถ.ราษฎร์อุทิศ ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา

คนในบ้าน: มีทั้งหมด 9 คน ผู้ใหญ่ 7 คน เด็กเล็ก 2 คน(ตอนนี้เริ่มมีไข้ ไม่สบาย)

จุดสังเกตุ : อยู่ใกล้  รร.นานาชาติ Southern International school

⛔️ต้องการ: อพยพ!!!

ติดต่อ: 062850****, 093775****(เบอร์ผู้แจ้ง)

 ตอนนี้คนในบ้านไม่สามารถติดต่อได้แล้วค่ะ"
16,"#ขอความช่วยเหลือสามีเพื่อนค่ะ 
แกเป็นโรคแพนิค ต้องการอพยพ น้ำเชี่ยวไม่สาทารถออกจากตัวบ้านได้ 

📍โครงการบ้าน Silvano 33/10 ถ.ประชาอุทิศ2 ม.6 คลองแห บ้านหลังที่ 2 … ไปทางแยกบิ้กซีเข้าถนนอัมพวัน แล้วเลี้ยวเข้าถนนแสงทอง เลี้ยวเข้าโค้งตรงโรงเรียนหนองนายขุ้ยค่ะ ตรงไปจะเจอบริษัทพีเคเทมเปอกลาส เลยไปอีกนิดเป็นทาวโฮมแถวนั้นมีคนติดอยู่ในบ้านหลายหลัง 

📞โทร สามี 061248**** ดิเรกฤทธิ์ จันทรสุวรรณ 
📞080606**** ปิยนุช จันทรสุวรรณ 

ภรรยาผู้แจ้ง อยู่นอกพื้นที่ไม่ได้อยู่ด้วยกันค่ะ สามีติดต่อไม่ได้เลยสัญญาณอ่อนมากๆ

#หาดใหญ่สงขลา #หาดใหญ่ #น้ำท่วมหาดใหญ่"
17,"❗❗🙏SOS น้ำท่วม🙏❗❗
1.ชื่อผู้แจ้ง แสงระวี ไพรดุก
2.ทีอยุ่/พิกัดที่ต้องการความช่วยเหลือ
บริษัท สยาม แชลลอทจำกัด 
525 ถนนราษฎร์อุทิศ ตำบลหาดใหญ่ 
อำเภอหาดใหญ่ จ.สงขลา 
จุดสังเกตุ ตรงข้ามร้าน เค แอนด์ พี เฟอร์นิเจอร์ (ป้ายใหญ่ๆสีเหลือง)
3.จำนวนคนที่ติดอยู่ในพื้นที่  5 คน 
บนชั้น 2 ซึ่งน้ำกำลังขึ้นมาถึงแล้ว
4.ผู้ป่วย/ผู้บาดเจ็บ : มีเด็กเล็ก 
5.เบอร์ติดต่อกลับ : 081081**** แม่
084454**** ผู้แจ้ง

วันที่24/11/68 เวลา 23.51 
เบอร์ผู้ประสบภัยที่ยังติดต่อไม่ได้ 083304**** คุณดึง"
