tweet_id,translated_thai,true_text_info,true_text_human,predicted_info,predicted_category,tweet_text_char_count,translated_thai_char_count,token_in_use,token_out_use,latency_seconds,temperature
916160388168691713,ความสงบก่อนพายุจะมา #PuberMe #บริจาคช่วยเปอร์โตริโก,not_informative,not_humanitarian,informative,rescue_volunteering_or_donation_effort,125,51,2082,39,1.682610034942627,0.0
909754715180867584,ผู้ประสบภัยพายุต้องการความช่วยเหลือด่วน พวกเขาไม่สามารถฟื้นตัวได้ด้วยตัวเอง ช่วยกันบริจาคอุปกรณ์ทางการแพทย์ได้ที่ https://t.co/BzXy6jyKIR #IrmaRecovery #IrmaVictims,informative,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,143,164,2136,39,1.6806104183197021,0.0
911648744675860480,หน่วยยามฝั่งเอาถังน้ำ 450 ลิตรกับของใช้จำเป็นไปส่งให้ชาวบ้านที่อ่าวคอรัลเบย์หลังพายุมาเรียถล่มแล้ว,informative,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,122,98,2116,39,1.6766128540039062,0.0
909827798365335552,ทีมงานจาก Leon County กำลังเร่งเคลียร์เศษซากปรักหักพังหลังพายุเออร์มาผ่านไปแล้วนะ,informative,rescue_volunteering_or_donation_effort,informative,infrastructure_and_utility_damage,120,81,2097,35,1.673588514328003,0.0
922977684728061952,เกิดไฟป่าที่เขตเวนทูรา รัฐแคลิฟอร์เนีย https://t.co/OyzWj7Uhqx https://t.co/UD3UhhK1Se,not_informative,not_humanitarian,informative,other_relevant_information,98,86,2103,33,1.6776134967803955,0.0
927716079161565185,FEMA โจมตีเชฟชื่อดังที่ทำอาหารแจกผู้ประสบภัยในเปอร์โตริโกไปหลายล้านมื้อ https://t.co/Gu5TFoo9bQ https://t.co/b14sJyPBFY,informative,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,119,119,2119,39,0.5664055347442627,0.0
909116676662206464,เงินบริจาคจาก Austin Bakes เอาไปทำอะไรบ้าง? เงินทั้งหมด 100% มอบให้ @Americares เพื่อช่วยเหลือผู้ประสบภัยพายุเฮอริเคน Harvey! https://t.co/dBbWFpTOjD,informative,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,111,149,2127,39,0.5593795776367188,0.0
909445607550459904,ที่ทำการไปรษณีย์ที่เล็กที่สุดในประเทศรอดจากพายุเฮอริเคนเออร์มามาได้ https://t.co/NhXc3OyV37 https://t.co/QDYuxyetc3,not_informative,not_humanitarian,informative,infrastructure_and_utility_damage,101,115,2117,35,0.6195573806762695,0.0
905292553444052994,รีทวีต @defendernetwork: วิธีรับมือกับความรู้สึกผิดที่รอดชีวิตมาได้จากเหตุพายุเฮอริเคนฮาร์วีย์ https://t.co/6PXPVmM3lf https://t.co/va0kGQd02v,informative,affected_individuals,informative,other_relevant_information,119,142,2140,33,0.5623843669891357,0.0
911883799247638528,ค่าความกดอากาศตอนพายุเฮอริเคนมาเรียพัดผ่านเปอร์โตริโกเมื่อช่วงต้นสัปดาห์ที่ผ่านมา https://t.co/9O3cAT85eA,informative,other_relevant_information,informative,other_relevant_information,100,105,2116,33,0.5177695751190186,0.0
910244526392008704,ตรงจุดที่ต้นไม้เคยล้มทับบ้านเราตอนพายุเออร์มาเข้า วันนี้มีกระต่ายแวะมาหาด้วย,informative,infrastructure_and_utility_damage,informative,other_relevant_information,144,76,2099,33,0.4346649646759033,0.0
907879466394718210,ประกาศเตือนภัยพายุทอร์นาโด พื้นที่เอ็กซ์มอร์ เบลล์เฮเวน และบอสตัน ถึงเวลา 16.00 น. ตามเวลา EDT https://t.co/59Ml0EU5sJ,informative,other_relevant_information,informative,other_relevant_information,124,118,2126,33,0.5438740253448486,0.0
904476857109590016,"RT @CBSDenver: กลุ่ม Colorado Feeding Kids ช่วยจัดหาอาหาร 50,000 มื้อให้ผู้ประสบภัยพายุฮาร์วีย์ https://t.co/18BksTotkr https://t.co/TK8uW9jyXi",informative,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,130,143,2129,39,0.6448290348052979,0.0
919571896672206848,คู่รักรอดตายปาฏิหาริย์จากไฟป่าที่แคลิฟอร์เนีย หลังลงไปแช่ตัวในสระน้ำบ้านเพื่อนบ้านนานถึง 6 ชั่วโมง https://t.co/4GkwoSIuWx https://t.co/dBSIQ7Fl7p,informative,missing_or_found_people,informative,missing_or_found_people,135,146,2139,33,0.5448503494262695,0.0
920143388590080001,ที่แคลิฟอร์เนียก็เหมือนกัน ไฟป่าที่ต้นไม้ยังยืนต้นอยู่ แต่รถกลับถูกเผาจนล้อละลาย มันไม่สมเหตุสมผลเลย,informative,vehicle_damage,informative,vehicle_damage,140,100,2115,31,0.37542247772216797,0.0
930262966460485632,ส่งกำลังใจให้ผู้ประสบภัยแผ่นดินไหวขนาด 7.3 ในอิหร่าน และขนาด 6.5 ในอิรักด้วยครับ https://t.co/p0460HFtep,informative,injured_or_dead_people,informative,other_relevant_information,98,104,2110,33,0.3745150566101074,0.0
911874793707905024,อัปเดตเส้นทางพายุ Maria กับ Lee จาก ECMWF ล่าสุดถึงวันที่ 5 ดูได้ที่นี่เลย --> https://t.co/cstgdpxl90 https://t.co/xCsgk4LfCc,informative,other_relevant_information,informative,other_relevant_information,123,126,2119,33,0.5611855983734131,0.0
904397842386739200,ผู้ประสบภัยสูงอายุจากพายุฮาร์วีย์ต้องการความช่วยเหลือเป็นพิเศษ,informative,affected_individuals,informative,affected_individuals,128,62,2089,32,0.5345733165740967,0.0
904429898944667648,กรมอุตุนิยมวิทยาแจ้งว่า เหตุที่เกิดขึ้นที่แซนฟอร์ดและแองเจียร์เป็นลมกระโชกแรง (microburst) ไม่ใช่ทอร์นาโด,informative,infrastructure_and_utility_damage,informative,other_relevant_information,136,105,2120,33,0.5286636352539062,0.0
928811568921444352,ไฟดับอีกแล้ว,not_informative,not_humanitarian,informative,infrastructure_and_utility_damage,79,12,2063,35,0.49297094345092773,0.0
910114199413694464,#คลิปจากเหตุการณ์: Kyle Hutton และ Roger Creager แต่งเพลงใหม่เพื่อระดมทุนช่วยเหลือผู้ประสบภัยพายุเฮอริเคน Harvey https://t.co/UqiAWl4UPW,not_informative,not_humanitarian,informative,rescue_volunteering_or_donation_effort,120,136,2117,39,0.5653972625732422,0.0
905664032949993472,นี่เราคิดไปเองหรือเปล่าว่าพายุฮาร์วีย์กับเออร์มาเหมือนจ้องจะถล่มแต่รัฐที่คนไม่เชื่อเรื่องโลกร้อนกันนะ? https://t.co/wMbeUFKAiI,informative,other_relevant_information,informative,other_relevant_information,112,126,2124,33,0.5326290130615234,0.0
910231852681703424,ที่พักแบบเบดแอนด์เบรกฟาสต์ในเซนต์ออกัสตินกำลังเร่งเก็บกวาดซากความเสียหายหลังพายุเออร์มาพัดถล่ม,not_informative,not_humanitarian,informative,infrastructure_and_utility_damage,144,94,2110,35,0.5823943614959717,0.0
876655110645989376,JDT สั่งย้าย Mora กลับไปคุม JDT II อ้างว่าตอนแรกเป็นแค่โค้ชขัดตาทัพเฉยๆ,not_informative,not_humanitarian,not_informative,not_humanitarian,123,71,2096,34,0.5828335285186768,0.0
910682398907617280,@Univision ย้ายผู้ประกาศข่าวหลักทุกคนไปที่เม็กซิโกซิตี้แล้ว #แผ่นดินไหว https://t.co/SqAOCAL55W,informative,other_relevant_information,informative,other_relevant_information,90,95,2103,33,0.47945189476013184,0.0
910682398907617280,@Univision ย้ายผู้ประกาศข่าวหลักทุกคนไปที่เม็กซิโกซิตี้แล้ว #แผ่นดินไหว https://t.co/SqAOCAL55W,informative,other_relevant_information,informative,other_relevant_information,90,95,2103,33,0.5845174789428711,0.0
914889010501300224,ภาพถ่ายจาก NASA เผยให้เห็นสภาพเปอร์โตริโกหลังพายุมาเรียพัดถล่มจนไฟฟ้าดับทั้งเกาะ https://t.co/QECgarGMZN https://t.co/OsHzPZFp4e,informative,other_relevant_information,informative,infrastructure_and_utility_damage,119,128,2120,35,0.5459399223327637,0.0
905161596519018497,#ด่วน ประกาศเตือนภัยพายุทอร์นาโดในพื้นที่เขตอดัมส์และยอร์ก รัฐเพนซิลเวเนีย ถึงเวลา 16.45 น. ตามเวลาท้องถิ่น https://t.co/2xT9ZnAi8e … https://t.co/ZAATXXrFFB,informative,other_relevant_information,informative,other_relevant_information,130,157,2149,33,0.49419522285461426,0.0
911908841675264002,แผ่นดินไหวเม็กซิโก: กองทัพเรือยืนยันว่าไม่มีเด็กสูญหายในโรงเรียนที่พังถล่มลงมา https://t.co/ITfTalpgxz https://t.co/uOOigR1YhG,informative,missing_or_found_people,informative,infrastructure_and_utility_damage,113,126,2124,35,0.6291303634643555,0.0
930496036216496129,น่าเศร้ามากที่ได้ข่าวครอบครัวในอิหร่านกับอิรักต้องสูญเสียคนในครอบครัวไปเยอะมากจากเหตุแผ่นดินไหว 💔,informative,injured_or_dead_people,informative,injured_or_dead_people,125,97,2106,34,0.47006893157958984,0.0
